PL (NUM_DEP,NUM_COM,SECTION,NUM);SURFACE;PERIMETRE;Nseg;N50;P2;MSI;PSI;ELONG
110040A0065;3.11440;980;17;3;36.47;1.567;0.538475512900177;1.539
110040A0393;0.15957;217;13;3;45.27;1.534;0.621577161574557;4.663
110040A0392;0.04589;94;9;2;53.89;1.241;0.738868710201632;2.350
110040A0220;0.00917;55;6;2;61.44;1.624;0.566402520373484;2.821
110040A0219;0.00063;10;4;2;52.62;1.131;0.926016583798302;1.148
110040A0217;0.02096;60;4;2;55.84;1.170;0.877934193532712;1.003
110040A0391;0.31899;267;6;2;73.74;1.333;0.692077180270858;3.185
110040A0228;0.00110;13;4;2;52.14;1.130;0.930105316129834;1.103
110040A0227;0.34081;267;6;2;55.98;1.291;0.758746676653318;2.368
110040A0216;0.25993;237;5;2;60.75;1.312;0.756415936384637;2.300
110040A0215;0.23979;255;6;2;63.12;1.468;0.627922745119127;4.203
110040A0214;0.49130;280;6;2;52.22;1.128;0.877137859719835;1.119
110040A0212;0.00066;10;4;2;54.18;1.133;0.898241969320478;1.200
110040A0211;0.19409;188;4;2;65.01;1.205;0.831257151685372;1.567
110040A0210;0.60106;480;10;3;38.24;1.745;0.634633888205636;1.653
110040A0236;0.07983;174;4;2;87.88;1.735;0.611483446627382;7.218
110040A0231;0.18581;241;5;2;67.64;1.577;0.670196840893145;5.397
110040A0230;0.17114;240;4;2;86.18;1.636;0.635778248038307;6.039
110040A0229;0.37841;394;11;2;51.38;1.809;0.660146832624775;2.596
110040A0207;0.44477;275;8;2;51.92;1.163;0.721769766806806;1.438
110040A0203;0.35014;244;4;2;61.74;1.162;0.816365520513726;1.559
110040A0201;0.09251;129;4;2;67.03;1.201;0.771569416574037;2.051
110040A0237;0.35613;250;4;2;64.40;1.181;0.852077945681662;1.718
110040A0234;0.97776;475;13;4;33.30;1.355;0.681537464592373;1.789
110040A0233;0.40296;258;4;2;57.15;1.145;0.923727152793547;1.468
110040A0232;0.85987;394;7;2;66.61;1.198;0.732598572891787;1.837
110040A0213;0.64478;351;13;3;49.33;1.233;0.683879025477752;1.034
110040A0512;0.00493;34;4;2;65.01;1.371;0.695334917360623;1.764
110040A0510;0.03689;89;6;2;71.06;1.307;0.628334081343252;2.184
110040A0511;0.05945;100;4;2;57.40;1.156;0.834043321200227;1.159
110040A0513;0.04165;86;4;2;65.22;1.189;0.805024648506166;1.626
110040A0514;0.01394;73;5;2;70.56;1.746;0.541687926953722;4.888
110040A0204;0.33803;235;5;2;52.75;1.139;0.791397946513277;1.273
110040A0487;0.01718;55;4;2;63.96;1.181;0.80076065894651;1.881
110040A0486;0.01417;50;5;2;55.37;1.173;0.784711074612224;1.821
