PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;BOIS_%;NATURE_%;AUTRE_%;DOMINANTE;PROBA_DOMINANTE;SURF_TOTALE_M2
11287WK0064;11;Peyrolles;287;WK;0064;5;100.0;0.0;0.0;BOIS;100;60510.3
11287WK0069;11;Peyrolles;287;WK;0069;5;100.0;0.0;0.0;BOIS;100;280249.0
11287WK0055;11;Peyrolles;287;WK;0055;5;99.43;0.0;0.57;BOIS;100;109783.3
113100C0001;11;Rennes-les-Bains;310;0C;0001;5;100.0;0.0;0.0;BOIS;100;163382.3
11287WK0071;11;Peyrolles;287;WK;0071;5;100.0;0.0;0.0;BOIS;100;75079.9
11287WK0070;11;Peyrolles;287;WK;0070;5;100.0;0.0;0.0;BOIS;100;5228.6
11287WK0060;11;Peyrolles;287;WK;0060;5;76.18;0.0;23.82;BOIS;100;47431.5
11287WK0094;11;Peyrolles;287;WK;0094;5;99.83;0.0;0.17;BOIS;100;33362.2
11287WK0046;11;Peyrolles;287;WK;0046;5;94.4;0.0;5.6;BOIS;100;14145.0
110150Z0179;11;Arques;015;0Z;0179;5;100.0;0.0;0.0;BOIS;100;29024.2
110150Z0172;11;Arques;015;0Z;0172;5;59.48;0.0;40.52;BOIS;100;6134.5
11287WI0016;11;Peyrolles;287;WI;0016;5;100.0;0.0;0.0;BOIS;100;137460.0
11287WK0036;11;Peyrolles;287;WK;0036;5;100.0;0.0;0.0;BOIS;100;44669.6
110150Z0178;11;Arques;015;0Z;0178;5;100.0;0.0;0.0;BOIS;100;1103.6
110150Z0177;11;Arques;015;0Z;0177;5;100.0;0.0;0.0;BOIS;100;2558.3
11287WI0020;11;Peyrolles;287;WI;0020;5;100.0;0.0;0.0;BOIS;100;84223.7
11287WI0002;11;Peyrolles;287;WI;0002;5;100.0;0.0;0.0;BOIS;100;538537.6
110150W0181;11;Arques;015;0W;0181;5;100.0;0.0;0.0;BOIS;100;226391.0
11287WK0001;11;Peyrolles;287;WK;0001;5;100.0;0.0;0.0;BOIS;100;23287.7
11287WK0002;11;Peyrolles;287;WK;0002;5;99.94;0.0;0.06;BOIS;100;76884.3
11287WK0059;11;Peyrolles;287;WK;0059;5;100.0;0.0;0.0;BOIS;100;14164.8
11287WK0088;11;Peyrolles;287;WK;0088;5;100.0;0.0;0.0;BOIS;100;5141.7
11287WK0003;11;Peyrolles;287;WK;0003;5;99.77;0.0;0.23;BOIS;100;16985.8
11287WK0095;11;Peyrolles;287;WK;0095;5;37.49;0.0;62.51;AUTRE;0;6630.6
11287WK0005;11;Peyrolles;287;WK;0005;5;17.26;0.0;82.74;AUTRE;0;2637.2
11287WK0006;11;Peyrolles;287;WK;0006;5;0.0;0.0;100.0;AUTRE;0;839.8
11287WK0065;11;Peyrolles;287;WK;0065;5;94.9;0.0;5.1;BOIS;100;2469.3
11287WK0056;11;Peyrolles;287;WK;0056;5;97.38;0.0;2.62;BOIS;100;4988.1
11287WK0020;11;Peyrolles;287;WK;0020;5;0.0;0.0;100.0;AUTRE;0;1232.1
11287WK0021;11;Peyrolles;287;WK;0021;5;0.0;0.0;100.0;AUTRE;0;2042.9
11287WK0007;11;Peyrolles;287;WK;0007;5;0.0;0.0;100.0;AUTRE;0;173.6
11287WK0091;11;Peyrolles;287;WK;0091;5;15.42;0.0;84.58;AUTRE;0;39594.1
11287WK0057;11;Peyrolles;287;WK;0057;5;48.32;0.0;51.68;AUTRE;0;1410.8
11287WK0024;11;Peyrolles;287;WK;0024;5;0.0;0.0;100.0;AUTRE;0;331.2
11287WK0019;11;Peyrolles;287;WK;0019;5;0.0;0.0;100.0;AUTRE;0;231.4
11287WK0018;11;Peyrolles;287;WK;0018;5;0.0;0.0;100.0;AUTRE;0;309.4
11287WK0014;11;Peyrolles;287;WK;0014;5;0.0;0.0;100.0;AUTRE;0;154.3
11287WK0008;11;Peyrolles;287;WK;0008;5;0.0;0.0;100.0;AUTRE;0;36.0
11287WK0013;11;Peyrolles;287;WK;0013;5;0.0;0.0;100.0;AUTRE;0;39.7
11287WK0017;11;Peyrolles;287;WK;0017;5;0.0;0.0;100.0;AUTRE;0;219.4
11287WK0004;11;Peyrolles;287;WK;0004;5;31.07;0.0;68.93;AUTRE;0;3217.9
11287WK0009;11;Peyrolles;287;WK;0009;5;0.0;0.0;100.0;AUTRE;0;116.6
11287WK0072;11;Peyrolles;287;WK;0072;5;0.0;0.0;100.0;AUTRE;0;61.3
11287WK0066;11;Peyrolles;287;WK;0066;5;100.0;0.0;0.0;BOIS;100;358.0
11287WK0073;11;Peyrolles;287;WK;0073;5;0.0;0.0;100.0;AUTRE;0;45.6
11287WK0010;11;Peyrolles;287;WK;0010;5;0.0;0.0;100.0;AUTRE;0;313.7
11287WK0016;11;Peyrolles;287;WK;0016;5;0.0;0.0;100.0;AUTRE;0;36.8
11287WK0074;11;Peyrolles;287;WK;0074;5;0.0;0.0;100.0;AUTRE;0;82.4
11287WK0015;11;Peyrolles;287;WK;0015;5;0.0;0.0;100.0;AUTRE;0;170.3
11287WK0075;11;Peyrolles;287;WK;0075;5;0.0;0.0;100.0;AUTRE;0;46.9
11287WK0085;11;Peyrolles;287;WK;0085;5;37.58;0.0;62.42;AUTRE;0;8884.3
11287WK0076;11;Peyrolles;287;WK;0076;5;0.0;0.0;100.0;AUTRE;0;40.0
11287WK0084;11;Peyrolles;287;WK;0084;5;0.0;0.0;100.0;AUTRE;0;549.2
11287WK0025;11;Peyrolles;287;WK;0025;5;0.08;0.0;99.92;AUTRE;0;1581.8
11287WK0079;11;Peyrolles;287;WK;0079;5;0.0;0.0;100.0;AUTRE;0;2367.8
11287WK0086;11;Peyrolles;287;WK;0086;5;100.0;0.0;0.0;BOIS;100;1023.8
11377WB0057;11;Serres;377;WB;0057;5;100.0;0.0;0.0;BOIS;100;262843.2
11287WK0077;11;Peyrolles;287;WK;0077;5;0.0;0.0;100.0;AUTRE;0;86.6
11287WK0093;11;Peyrolles;287;WK;0093;5;0.0;0.0;100.0;AUTRE;0;229.4
11287WK0092;11;Peyrolles;287;WK;0092;5;0.0;0.0;100.0;AUTRE;0;47.2
11287WK0011;11;Peyrolles;287;WK;0011;5;0.0;0.0;100.0;AUTRE;0;80.9
11287WK0068;11;Peyrolles;287;WK;0068;5;33.33;0.0;66.67;AUTRE;0;1166.5
11287WK0082;11;Peyrolles;287;WK;0082;5;0.0;0.0;100.0;AUTRE;0;134.7
11287WK0090;11;Peyrolles;287;WK;0090;5;5.16;0.0;94.84;AUTRE;0;1514.5
11287WK0027;11;Peyrolles;287;WK;0027;5;100.0;0.0;0.0;BOIS;100;229.7
11287WK0026;11;Peyrolles;287;WK;0026;5;100.01;0.0;0.0;BOIS;100;482.0
11287WK0029;11;Peyrolles;287;WK;0029;5;94.28;0.0;5.72;BOIS;100;25474.9
11287WK0035;11;Peyrolles;287;WK;0035;5;93.23;6.45;0.32;BOIS;100;557170.5
11287WK0031;11;Peyrolles;287;WK;0031;5;95.98;0.0;4.02;BOIS;100;5334.0
11287WK0051;11;Peyrolles;287;WK;0051;5;100.0;0.0;0.0;BOIS;100;3270.7
11287WK0038;11;Peyrolles;287;WK;0038;5;100.0;0.0;0.0;BOIS;100;10517.3
11287WK0034;11;Peyrolles;287;WK;0034;5;97.42;2.18;0.41;BOIS;100;90466.2
11287WK0067;11;Peyrolles;287;WK;0067;5;100.06;0.0;0.0;BOIS;100;62.9
11287WL0008;11;Peyrolles;287;WL;0008;5;100.0;0.0;0.0;BOIS;100;21847.6
11287WL0037;11;Peyrolles;287;WL;0037;5;100.0;0.0;0.0;BOIS;100;1209.2
11287WL0035;11;Peyrolles;287;WL;0035;5;1.86;0.0;98.14;AUTRE;0;1584.6
11287WL0031;11;Peyrolles;287;WL;0031;5;100.01;0.0;0.0;BOIS;100;439.0
11287WL0034;11;Peyrolles;287;WL;0034;5;0.0;0.0;100.0;AUTRE;0;1302.1
11287WL0016;11;Peyrolles;287;WL;0016;5;0.0;0.0;100.0;AUTRE;0;442.1
11287WL0017;11;Peyrolles;287;WL;0017;5;0.0;0.0;100.0;AUTRE;0;60.9
11287WL0014;11;Peyrolles;287;WL;0014;5;0.0;0.0;100.0;AUTRE;0;519.5
11287WL0015;11;Peyrolles;287;WL;0015;5;0.0;0.0;100.0;AUTRE;0;167.1
11287WL0018;11;Peyrolles;287;WL;0018;5;0.0;0.0;100.0;AUTRE;0;209.6
11287WL0012;11;Peyrolles;287;WL;0012;5;34.06;0.0;65.94;AUTRE;0;5774.1
11287WL0019;11;Peyrolles;287;WL;0019;5;0.0;0.0;100.0;AUTRE;0;3264.0
11287WL0023;11;Peyrolles;287;WL;0023;5;1.09;0.0;98.91;AUTRE;0;1213.8
11287WL0011;11;Peyrolles;287;WL;0011;5;99.38;0.0;0.62;BOIS;100;1314.0
11287WL0021;11;Peyrolles;287;WL;0021;5;0.0;0.0;100.0;AUTRE;0;326.9
11287WL0024;11;Peyrolles;287;WL;0024;5;86.3;0.0;13.7;BOIS;100;4174.7
11287WK0033;11;Peyrolles;287;WK;0033;5;57.09;0.0;42.91;BOIS;100;17740.2
11287WL0025;11;Peyrolles;287;WL;0025;5;98.82;0.0;1.18;BOIS;100;1643.4
11287WK0032;11;Peyrolles;287;WK;0032;5;32.6;0.0;67.4;AUTRE;0;2460.9
11287WK0030;11;Peyrolles;287;WK;0030;5;93.0;0.0;7.0;BOIS;100;6473.9
11287WK0041;11;Peyrolles;287;WK;0041;5;100.0;0.0;0.0;BOIS;100;10373.7
