PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;ARTIFICIALISE_%;AGRICULTURE_%;NATURE_%;BOIS_%;EAU_%;AUTRE_%;DOMINANTE;PROBA_PONDEREE;SURF_CAD
11287WK0064;11;Peyrolles;287;WK;0064;5;0.0;0.0;16.98;0.0;0.0;83.02;AUTRE;0.0;60510.298150388975
11287WK0069;11;Peyrolles;287;WK;0069;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;280249.0088502008
11287WK0055;11;Peyrolles;287;WK;0055;5;0.0;0.74;92.32;0.0;0.0;6.94;NATURE;100.0;109783.33374951742
113100C0001;11;Rennes-les-Bains;310;0C;0001;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;163382.30025015178
11287WK0071;11;Peyrolles;287;WK;0071;5;0.0;0.0;0.14;0.0;0.0;99.86;AUTRE;0.0;75079.88865008697
11287WK0070;11;Peyrolles;287;WK;0070;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;5228.611349810483
11287WK0060;11;Peyrolles;287;WK;0060;5;0.0;24.09;49.09;0.0;0.0;26.83;NATURE;100.0;47431.474950102085
11287WK0094;11;Peyrolles;287;WK;0094;5;0.0;0.0;95.47;0.0;0.0;4.53;NATURE;100.0;33362.23209989622
11287WK0046;11;Peyrolles;287;WK;0046;5;0.0;0.0;86.82;0.0;0.0;13.18;NATURE;100.0;14144.95020009056
110150Z0179;11;Arques;015;0Z;0179;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;29024.163499953836
110150Z0172;11;Arques;015;0Z;0172;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;6134.503699832457
11287WI0016;11;Peyrolles;287;WI;0016;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;137459.95354972762
11287WK0036;11;Peyrolles;287;WK;0036;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;44669.64034998417
110150Z0178;11;Arques;015;0Z;0178;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1103.5936999393218
110150Z0177;11;Arques;015;0Z;0177;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;2558.3463499864615
11287WI0020;11;Peyrolles;287;WI;0020;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;84223.74610008416
11287WI0002;11;Peyrolles;287;WI;0002;5;0.0;0.0;5.11;0.0;0.0;94.89;AUTRE;0.0;538537.593150484
110150W0181;11;Arques;015;0W;0181;5;0.0;0.0;5.58;0.0;0.0;94.42;AUTRE;0.0;226390.98605011852
11287WK0001;11;Peyrolles;287;WK;0001;5;0.0;0.0;95.45;0.0;0.0;4.55;NATURE;100.0;23287.685499584422
11287WK0002;11;Peyrolles;287;WK;0002;5;0.0;0.02;10.7;0.0;0.0;89.28;AUTRE;0.0;76884.27945003926
11287WK0059;11;Peyrolles;287;WK;0059;5;0.0;0.0;79.73;0.0;0.0;20.27;NATURE;100.0;14164.836500024949
