PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;DOM_2018;PROB_2018;DOM_2019;PROB_2019;DOM_2020;PROB_2020;DOM_2021;PROB_2021;DOM_2022;PROB_2022;DOM_2023;PROB_2023;DOM_2024;PROB_2024;DOMINANTE;SCORE_STABILITE;PROBA_PONDEREE;LOGIQUE_ARBITRAGE
11287WK0064;11;Peyrolles;287;WK;0064;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0069;11;Peyrolles;287;WK;0069;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0055;11;Peyrolles;287;WK;0055;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
113100C0001;11;Rennes-les-Bains;310;0C;0001;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0071;11;Peyrolles;287;WK;0071;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0070;11;Peyrolles;287;WK;0070;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0060;11;Peyrolles;287;WK;0060;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0094;11;Peyrolles;287;WK;0094;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0046;11;Peyrolles;287;WK;0046;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
110150Z0179;11;Arques;015;0Z;0179;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110150Z0172;11;Arques;015;0Z;0172;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WI0016;11;Peyrolles;287;WI;0016;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0036;11;Peyrolles;287;WK;0036;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110150Z0178;11;Arques;015;0Z;0178;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
110150Z0177;11;Arques;015;0Z;0177;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WI0020;11;Peyrolles;287;WI;0020;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WI0002;11;Peyrolles;287;WI;0002;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;NATURE;57.1;100.0;MAJORITE
