PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
11287WK0064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28;100.0;99.72;0.0
113100C0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0070;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0060;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.23;100.0;93.77;0.0
110150Z0179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0172;1.56;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.44;0.0
11287WI0016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WI0020;0.07;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.93;0.0
11287WI0002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0020;0.46;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.54;0.0
11287WK0021;0.24;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.76;0.0
11287WK0007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0091;1.71;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.29;0.0
11287WK0057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0019;30.58;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.42;0.0
11287WK0018;61.74;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.26;0.0
11287WK0014;67.45;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.55;0.0
11287WK0008;72.11;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.89;0.0
11287WK0013;72.08;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.92;0.0
11287WK0017;89.85;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.15;0.0
11287WK0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0072;72.33;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.67;0.0
11287WK0066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0073;67.19;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.81;0.0
11287WK0010;21.18;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.82;0.0
11287WK0016;38.19;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.81;0.0
11287WK0074;81.34;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.66;0.0
11287WK0015;54.06;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.94;0.0
11287WK0075;72.58;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.42;0.0
11287WK0085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;100.0;99.88;0.0
11287WK0076;75.14;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.86;0.0
11287WK0084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0079;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0077;57.74;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.26;0.0
11287WK0093;10.65;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.35;0.0
11287WK0092;32.12;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.88;0.0
11287WK0011;29.3;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.7;0.0
11287WK0068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0090;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.4;100.0;68.6;0.0
11287WK0029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.04;100.0;97.96;0.0
11287WK0035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0067;35.64;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.36;0.0
11287WL0008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0016;20.84;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.16;0.0
11287WL0017;87.15;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.85;0.0
11287WL0014;35.18;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.82;0.0
11287WL0015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0018;20.53;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.47;0.0
11287WL0012;1.8;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.2;0.0
11287WL0019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0023;2.15;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.85;0.0
11287WL0011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0021;45.34;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.66;0.0
11287WL0024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0033;3.03;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.97;0.0
11287WL0025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0040;0.08;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.92;0.0
11287WK0083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.39;100.0;92.61;0.0
11287WK0044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0050;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0020;4.26;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.74;0.0
11287WL0029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0026;1.86;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.14;0.0
11287WL0022;4.03;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.97;0.0
11287WL0013;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.99;0.0
11287WK0045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0053;2.83;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67;100.0;96.51;0.0
11287WK0054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13;100.0;99.87;0.0
110150Z0139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0140;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.77;100.0;98.23;0.0
110150Z0487;0.57;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.43;0.0
110150W0002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;100.0;99.97;0.0
110150Z0486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.38;100.0;98.62;0.0
110150W0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0160;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0162;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0150;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150W0149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WA0076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0040;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WA0087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WA0084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0062;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11377WB0030;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
