PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
11287WK0064;0.22;84.7;0.0;0.0;6.36;68.1;93.42;82.4;0.0;0.0;0.0;0.0
11287WK0069;0.31;84.7;0.0;0.0;5.4;67.3;94.29;84.4;0.0;0.0;0.0;0.0
11287WK0055;0.95;84.7;0.39;85.4;45.16;65.6;53.5;83.5;0.0;0.0;0.0;0.0
113100C0001;0.23;84.7;0.0;0.0;10.96;75.9;88.81;86.6;0.0;0.0;0.0;0.0
11287WK0071;0.1;84.7;0.0;0.0;21.63;62.8;78.27;83.6;0.0;0.0;0.0;0.0
11287WK0070;47.61;84.7;0.0;0.0;2.14;68.5;50.25;83.1;0.0;0.0;0.0;0.0
11287WK0060;0.81;84.7;22.89;85.4;30.6;67.0;45.69;82.8;0.0;0.0;0.0;0.0
11287WK0094;0.93;84.7;0.0;0.0;79.76;62.5;19.31;84.4;0.0;0.0;0.0;0.0
11287WK0046;3.39;83.5;0.0;0.0;19.0;72.1;77.61;86.0;0.0;0.0;0.0;0.0
110150Z0179;0.0;0.0;0.0;0.0;0.8;58.4;99.2;85.7;0.0;0.0;0.0;0.0
110150Z0172;1.58;91.4;0.0;0.0;36.23;62.8;62.19;86.6;0.0;0.0;0.0;0.0
11287WI0016;0.0;0.0;0.0;0.0;0.45;59.2;99.55;85.2;0.0;0.0;0.0;0.0
11287WK0036;0.0;0.0;0.0;0.0;0.0;0.0;100.0;86.6;0.0;0.0;0.0;0.0
110150Z0178;0.0;0.0;0.0;0.0;0.0;0.0;100.0;86.6;0.0;0.0;0.0;0.0
110150Z0177;0.0;0.0;0.0;0.0;0.0;0.0;100.0;85.8;0.0;0.0;0.0;0.0
11287WI0020;0.66;84.7;0.0;0.0;23.27;60.5;76.06;83.5;0.0;0.0;0.0;0.0
11287WI0002;0.96;84.7;0.0;0.0;45.79;66.5;53.25;85.5;0.0;0.0;0.0;0.0
110150W0181;0.88;83.4;0.0;0.0;6.42;61.2;92.7;83.8;0.0;0.0;0.0;0.0
11287WK0001;1.37;84.7;0.0;0.0;84.83;67.6;13.8;82.3;0.0;0.0;0.0;0.0
11287WK0002;1.08;84.7;0.01;85.4;12.3;73.5;86.61;82.0;0.0;0.0;0.0;0.0
11287WK0059;0.46;84.7;0.0;0.0;0.15;58.1;99.39;82.1;0.0;0.0;0.0;0.0
11287WK0088;0.04;84.7;0.0;0.0;55.0;58.2;44.96;82.1;0.0;0.0;0.0;0.0
11287WK0003;0.32;84.7;0.0;0.0;45.47;73.1;54.22;83.2;0.0;0.0;0.0;0.0
11287WK0095;0.33;89.3;0.0;0.0;62.27;68.5;37.4;83.4;0.0;0.0;0.0;0.0
11287WK0005;0.43;84.7;70.85;85.4;14.68;65.9;14.04;85.4;0.0;0.0;0.0;0.0
11287WK0006;0.0;0.0;0.41;85.4;44.11;68.5;55.48;86.6;0.0;0.0;0.0;0.0
11287WK0065;0.28;84.7;21.44;85.4;35.51;66.8;42.78;86.6;0.0;0.0;0.0;0.0
11287WK0056;0.0;0.0;0.0;0.0;61.44;64.9;38.56;86.6;0.0;0.0;0.0;0.0
11287WK0020;0.45;84.7;0.0;0.0;62.61;68.5;36.94;86.6;0.0;0.0;0.0;0.0
11287WK0021;27.73;84.7;3.47;85.4;54.88;68.5;13.48;86.6;0.43;71.7;0.0;0.0
11287WK0007;0.0;0.0;0.0;0.0;50.25;68.5;49.75;86.6;0.0;0.0;0.0;0.0
11287WK0091;4.42;85.9;58.87;85.4;25.13;68.5;11.48;86.2;0.09;71.7;0.0;0.0
11287WK0057;0.96;84.7;0.0;0.0;44.87;68.5;54.17;86.6;0.0;0.0;0.0;0.0
11287WK0024;15.15;86.9;0.0;0.0;40.93;68.5;43.93;86.6;0.0;0.0;0.0;0.0
11287WK0019;36.52;91.3;0.0;0.0;17.48;68.5;45.99;86.6;0.0;0.0;0.0;0.0
11287WK0018;68.58;90.9;0.0;0.0;14.98;68.5;16.44;86.6;0.0;0.0;0.0;0.0
11287WK0014;91.04;91.3;0.0;0.0;0.0;0.0;8.96;86.6;0.0;0.0;0.0;0.0
11287WK0008;42.78;91.4;0.0;0.0;0.0;0.0;57.22;86.6;0.0;0.0;0.0;0.0
11287WK0013;78.32;91.4;0.0;0.0;0.0;0.0;21.68;86.6;0.0;0.0;0.0;0.0
11287WK0017;97.8;91.4;0.0;0.0;1.1;68.5;1.1;86.6;0.0;0.0;0.0;0.0
11287WK0004;4.81;84.7;0.0;0.0;68.91;68.6;26.29;86.3;0.0;0.0;0.0;0.0
11287WK0009;20.28;84.7;0.0;0.0;23.83;68.5;55.89;86.6;0.0;0.0;0.0;0.0
11287WK0072;79.04;91.4;0.0;0.0;10.38;68.5;10.58;86.6;0.0;0.0;0.0;0.0
11287WK0066;1.03;84.7;1.1;85.4;40.03;66.9;57.85;86.6;0.0;0.0;0.0;0.0
11287WK0073;69.53;91.4;0.0;0.0;0.0;0.0;30.47;86.6;0.0;0.0;0.0;0.0
11287WK0010;26.83;91.1;4.52;85.4;68.63;68.5;0.02;0.0;0.0;0.0;0.0;0.0
11287WK0016;46.28;90.2;0.0;0.0;15.66;68.5;38.06;86.6;0.0;0.0;0.0;0.0
11287WK0074;84.69;91.4;0.0;0.0;0.0;0.0;15.31;86.6;0.0;0.0;0.0;0.0
11287WK0015;54.13;90.9;0.0;0.0;43.72;68.5;2.15;86.6;0.0;0.0;0.0;0.0
11287WK0075;74.93;91.4;0.0;0.0;0.0;0.0;25.07;86.6;0.0;0.0;0.0;0.0
11287WK0085;0.0;0.0;56.79;85.4;8.42;68.5;34.8;86.5;0.0;0.0;0.0;0.0
11287WK0076;73.89;91.4;0.0;0.0;18.59;68.5;7.51;86.6;0.0;0.0;0.0;0.0
11287WK0084;28.36;84.7;0.99;85.4;10.55;68.5;60.11;86.6;0.0;0.0;0.0;0.0
11287WK0025;0.16;84.7;0.0;0.0;65.38;68.5;34.46;86.6;0.0;0.0;0.0;0.0
11287WK0079;0.65;84.7;4.56;85.4;59.6;68.5;35.19;86.6;0.0;0.0;0.0;0.0
11287WK0086;0.31;84.7;0.0;0.0;21.54;59.7;78.15;86.6;0.0;0.0;0.0;0.0
11377WB0057;0.21;84.7;0.0;0.0;0.04;78.8;99.75;83.2;0.0;0.0;0.0;0.0
11287WK0077;47.52;91.4;0.0;0.0;52.48;68.5;0.0;0.0;0.0;0.0;0.0;0.0
11287WK0093;35.76;91.3;0.0;0.0;56.28;68.5;7.96;86.6;0.0;0.0;0.0;0.0
11287WK0092;41.62;91.4;0.0;0.0;58.38;68.5;0.0;0.0;0.0;0.0;0.0;0.0
11287WK0011;49.22;91.4;0.0;0.0;50.5;68.5;0.28;0.0;0.0;0.0;0.0;0.0
11287WK0068;46.79;84.7;1.43;85.4;23.56;64.6;28.22;86.6;0.0;0.0;0.0;0.0
11287WK0082;25.63;84.5;15.73;85.4;53.74;68.5;4.9;86.6;0.0;0.0;0.0;0.0
11287WK0090;2.11;84.7;61.51;85.4;31.83;68.5;4.56;86.6;0.0;0.0;0.0;0.0
11287WK0027;2.58;84.7;0.0;0.0;24.19;68.5;73.23;86.6;0.0;0.0;0.0;0.0
11287WK0026;0.0;0.0;0.0;0.0;0.0;0.0;100.0;86.6;0.0;0.0;0.0;0.0
11287WK0029;0.4;79.9;0.0;0.0;19.78;69.0;79.82;85.1;0.0;0.0;0.0;0.0
11287WK0035;0.89;84.4;0.0;0.0;42.67;66.6;56.44;84.4;0.0;0.0;0.0;0.0
11287WK0031;1.04;84.7;0.0;0.0;5.61;68.5;93.34;82.5;0.0;0.0;0.0;0.0
11287WK0051;0.0;0.0;0.0;0.0;17.51;68.5;82.49;82.9;0.0;0.0;0.0;0.0
11287WK0038;0.0;0.0;0.0;0.0;11.0;58.5;89.0;83.7;0.0;0.0;0.0;0.0
11287WK0034;1.94;84.6;0.0;0.0;69.34;65.0;28.72;85.6;0.0;0.0;0.0;0.0
11287WK0067;13.94;91.4;0.0;0.0;46.87;68.5;39.19;86.6;0.0;0.0;0.0;0.0
11287WL0008;1.1;84.7;0.0;0.0;20.16;58.5;78.74;85.4;0.0;0.0;0.0;0.0
11287WL0037;0.16;84.7;0.21;85.4;32.01;68.5;67.62;86.6;0.0;0.0;0.0;0.0
11287WL0035;33.24;84.7;0.0;0.0;66.39;68.5;0.38;86.6;0.0;0.0;0.0;0.0
11287WL0031;0.0;0.0;16.93;85.4;0.0;0.0;83.07;86.6;0.0;0.0;0.0;0.0
11287WL0034;3.3;84.7;0.0;0.0;84.1;68.5;12.6;86.6;0.0;0.0;0.0;0.0
11287WL0016;33.09;89.1;0.0;0.0;61.33;68.5;5.58;86.6;0.0;0.0;0.0;0.0
11287WL0017;89.21;91.4;0.0;0.0;10.79;68.5;0.0;0.0;0.0;0.0;0.0;0.0
11287WL0014;62.38;89.4;0.0;0.0;34.16;68.5;3.46;86.6;0.0;0.0;0.0;0.0
11287WL0015;45.53;84.7;0.0;0.0;23.69;68.5;30.78;86.6;0.0;0.0;0.0;0.0
11287WL0018;22.02;89.6;0.0;0.0;43.76;68.5;34.22;86.6;0.0;0.0;0.0;0.0
11287WL0012;2.69;88.2;2.8;85.4;81.01;66.1;13.5;86.6;0.0;0.0;0.0;0.0
11287WL0019;0.44;84.7;20.56;85.4;72.75;67.6;6.24;86.6;0.0;0.0;0.0;0.0
11287WL0023;14.75;85.7;0.0;0.0;70.5;68.5;14.75;86.6;0.0;0.0;0.0;0.0
11287WL0011;9.69;84.7;0.0;0.0;70.91;68.5;19.4;86.6;0.0;0.0;0.0;0.0
11287WL0021;95.8;86.2;0.0;0.0;3.53;68.5;0.67;86.6;0.0;0.0;0.0;0.0
11287WL0024;13.35;84.7;1.3;85.4;75.36;66.5;9.99;86.6;0.0;0.0;0.0;0.0
