PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
11287WK0064;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0069;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0055;0.0;0.0;0.0;0.0;0.0;0.0;99.43;100.0;0.0;0.0;0.57;0.0
113100C0001;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0071;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0070;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0060;0.0;0.0;0.0;0.0;0.0;0.0;76.18;100.0;0.0;0.0;23.82;0.0
11287WK0094;0.0;0.0;0.0;0.0;0.0;0.0;99.83;100.0;0.0;0.0;0.17;0.0
11287WK0046;0.0;0.0;0.0;0.0;0.0;0.0;94.4;100.0;0.0;0.0;5.6;0.0
110150Z0179;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
110150Z0172;0.0;0.0;0.0;0.0;0.0;0.0;59.48;100.0;0.0;0.0;40.52;0.0
11287WI0016;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0036;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
110150Z0178;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
110150Z0177;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WI0020;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WI0002;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
110150W0181;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0001;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0002;0.0;0.0;0.0;0.0;0.0;0.0;99.94;100.0;0.0;0.0;0.06;0.0
11287WK0059;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0088;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0003;0.0;0.0;0.0;0.0;0.0;0.0;99.77;100.0;0.0;0.0;0.23;0.0
11287WK0095;0.0;0.0;0.0;0.0;0.0;0.0;37.49;100.0;0.0;0.0;62.51;0.0
11287WK0005;0.0;0.0;0.0;0.0;0.0;0.0;17.26;100.0;0.0;0.0;82.74;0.0
