PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
110040A0065;0.0;0.0;87.51;63.9;0.0;0.0;12.49;87.1;0.0;0.0;0.0;0.0
110040A0170;0.0;0.0;1.26;64.0;0.0;0.0;98.74;84.0;0.0;0.0;0.0;0.0
110040A0171;0.0;0.0;6.44;74.0;0.0;0.0;93.56;88.0;0.0;0.0;0.0;0.0
110040A0172;0.0;0.0;2.57;74.0;0.0;0.0;97.43;88.0;0.0;0.0;0.0;0.0
110040A0173;0.0;0.0;2.45;74.0;0.0;0.0;97.55;88.0;0.0;0.0;0.0;0.0
110040A0174;0.0;0.0;16.76;73.4;0.0;0.0;83.24;88.0;0.0;0.0;0.0;0.0
110040A0175;7.55;54.0;72.03;72.0;0.0;0.0;20.42;88.0;0.0;0.0;0.0;0.0
110040A0176;0.0;0.0;0.0;0.0;0.0;0.0;100.0;88.0;0.0;0.0;0.0;0.0
110040A0177;1.24;54.0;27.7;89.0;0.0;0.0;71.06;88.0;0.0;0.0;0.0;0.0
110040A0178;97.13;54.0;0.82;88.4;0.0;0.0;2.04;88.0;0.0;0.0;0.0;0.0
110040A0179;91.3;54.0;8.7;72.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0180;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0181;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0182;96.3;54.0;3.7;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0183;86.68;54.0;13.32;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0185;0.0;0.0;100.0;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0194;47.26;59.0;52.74;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0195;36.99;52.0;63.01;50.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0196;67.14;52.0;4.73;80.0;0.0;0.0;28.14;72.0;0.0;0.0;0.0;0.0
110040A0197;2.99;52.0;97.01;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0198;0.04;52.0;87.26;78.9;0.0;0.0;12.7;72.0;0.0;0.0;0.0;0.0
110040A0199;0.0;0.0;0.0;0.0;0.0;0.0;100.0;72.0;0.0;0.0;0.0;0.0
110040A0200;0.0;0.0;0.0;0.0;0.0;0.0;100.0;72.0;0.0;0.0;0.0;0.0
110040A0201;0.0;0.0;7.76;73.0;0.0;0.0;92.24;72.0;0.0;0.0;0.0;0.0
110040A0203;0.0;0.0;100.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0204;0.0;0.0;16.49;73.0;0.0;0.0;83.51;72.0;0.0;0.0;0.0;0.0
110040A0205;0.0;0.0;0.0;0.0;0.0;0.0;100.0;72.0;0.0;0.0;0.0;0.0
110040A0206;0.0;0.0;6.88;73.0;0.0;0.0;93.12;72.0;0.0;0.0;0.0;0.0
110040A0207;0.92;41.0;99.08;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0208;16.09;41.0;3.43;63.8;0.0;0.0;80.49;72.0;0.0;0.0;0.0;0.0
110040A0209;72.39;41.0;27.51;50.3;0.0;0.0;0.1;72.0;0.0;0.0;0.0;0.0
110040A0210;48.72;53.2;51.28;57.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0211;30.35;54.0;69.65;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0212;46.8;54.0;53.2;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0213;2.61;52.5;97.39;72.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0214;3.06;54.0;96.94;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0215;87.69;54.0;12.31;72.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0216;84.72;54.0;15.28;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0217;22.05;54.0;77.95;71.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0218;42.54;54.0;57.46;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0219;0.0;0.0;100.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0220;17.95;39.0;82.05;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0226;0.91;39.0;75.37;64.3;0.0;0.0;23.72;71.7;0.0;0.0;0.0;0.0
110040A0227;4.74;47.0;0.0;0.0;0.0;0.0;95.26;59.0;0.0;0.0;0.0;0.0
110040A0228;0.0;0.0;0.0;0.0;0.0;0.0;100.0;59.0;0.0;0.0;0.0;0.0
110040A0229;0.0;0.0;94.79;73.0;0.0;0.0;5.21;59.0;0.0;0.0;0.0;0.0
110040A0230;0.0;0.0;36.4;73.0;0.0;0.0;63.6;59.0;0.0;0.0;0.0;0.0
110040A0231;29.07;47.0;2.53;57.0;0.0;0.0;68.4;59.0;0.0;0.0;0.0;0.0
110040A0232;46.31;47.0;21.0;73.0;0.0;0.0;32.68;59.0;0.0;0.0;0.0;0.0
110040A0233;0.0;0.0;100.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0234;3.88;47.0;96.12;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0235;7.77;47.0;92.23;73.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0236;100.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0237;100.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0238;94.75;47.0;5.25;63.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0239;6.82;47.0;93.18;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0240;28.79;48.0;71.21;70.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0241;100.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0242;24.6;50.7;75.4;50.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0246;2.55;51.4;97.45;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0247;44.32;48.0;55.68;70.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0248;0.0;0.0;100.0;70.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0251;0.0;0.0;100.0;73.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0257;97.28;54.0;2.72;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0258;95.36;54.0;4.64;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0260;18.61;54.0;81.39;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0261;86.3;54.0;13.7;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0273;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0274;98.36;54.0;1.64;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0275;99.94;54.0;0.06;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
