PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
11287WK0064;0.0;0.0;0.0;0.0;16.98;100.0;0.0;0.0;0.0;0.0;83.02;0.0
11287WK0069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0055;0.0;0.0;0.74;100.0;92.32;100.0;0.0;0.0;0.0;0.0;6.94;0.0
113100C0001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0071;0.0;0.0;0.0;0.0;0.14;100.0;0.0;0.0;0.0;0.0;99.86;0.0
11287WK0070;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0060;0.0;0.0;24.09;100.0;49.09;100.0;0.0;0.0;0.0;0.0;26.83;0.0
11287WK0094;0.0;0.0;0.0;0.0;95.47;100.0;0.0;0.0;0.0;0.0;4.53;0.0
11287WK0046;0.0;0.0;0.0;0.0;86.82;100.0;0.0;0.0;0.0;0.0;13.18;0.0
110150Z0179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WI0016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
110150Z0177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WI0020;0.0;0.0;0.0;0.0;11.25;100.0;0.0;0.0;0.0;0.0;88.75;0.0
11287WI0002;0.0;0.0;0.0;0.0;71.1;100.0;0.0;0.0;0.0;0.0;28.9;0.0
110150W0181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0001;0.0;0.0;0.0;0.0;95.45;100.0;0.0;0.0;0.0;0.0;4.55;0.0
11287WK0002;0.0;0.0;0.02;100.0;10.7;100.0;0.0;0.0;0.0;0.0;89.28;0.0
11287WK0059;0.0;0.0;0.0;0.0;79.73;100.0;0.0;0.0;0.0;0.0;20.27;0.0
11287WK0088;0.0;0.0;0.0;0.0;87.85;100.0;0.0;0.0;0.0;0.0;12.15;0.0
11287WK0003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0095;0.0;0.0;0.0;0.0;87.31;100.0;0.0;0.0;0.0;0.0;12.69;0.0
11287WK0005;0.0;0.0;78.18;100.0;0.0;0.0;0.0;0.0;0.0;0.0;21.82;0.0
11287WK0006;0.0;0.0;0.8;100.0;54.74;100.0;0.0;0.0;0.0;0.0;44.46;0.0
11287WK0065;0.0;0.0;25.93;99.9;18.03;100.0;0.0;0.0;0.0;0.0;56.04;0.0
11287WK0056;0.0;0.0;0.0;0.0;98.09;100.0;0.0;0.0;0.0;0.0;1.91;0.0
11287WK0020;0.0;0.0;86.73;82.4;0.0;0.0;0.0;0.0;0.0;0.0;13.27;0.0
11287WK0021;0.0;0.0;94.66;64.5;0.0;0.0;0.0;0.0;0.0;0.0;5.34;0.0
11287WK0007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0091;0.0;0.0;66.3;99.9;8.48;100.0;0.0;0.0;0.0;0.0;25.22;0.0
