PL;ARTIFICIALISE_OSO;AGRICULTURE_OSO;NATURE_OSO;BOIS_OSO;EAU_OSO;AUTRE_OSO;ARTIFICIALISE_RPG;AGRICULTURE_RPG;NATURE_RPG;BOIS_RPG;EAU_RPG;AUTRE_RPG;ARTIFICIALISE_TOPO;AGRICULTURE_TOPO;NATURE_TOPO;BOIS_TOPO;EAU_TOPO;AUTRE_TOPO;ARTIFICIALISE_COSIA;AGRICULTURE_COSIA;NATURE_COSIA;BOIS_COSIA;EAU_COSIA;AUTRE_COSIA;ARTIFICIALISE_FORET;AGRICULTURE_FORET;NATURE_FORET;BOIS_FORET;EAU_FORET;AUTRE_FORET;DIV_ARTIFICIALISE;DIV_AGRICULTURE;DIV_NATURE;DIV_BOIS;DIV_EAU;INDICE_DIVERGENCE;TAUX_ACCORD_PRECIS;CONSENSUS;SURFACE;GRAVELIUS
110040A0065;0.0;87.51;0.0;12.49;0.0;0.0;0.0;97.25;0.0;0.0;0.0;2.75;0.0;0.0;0.0;0.0;0.0;100.0;0.17;96.41;0.24;3.18;0.0;0.0;0.0;0.0;0.0;1.65;0.0;98.35;0.07602631123499286;51.476054918767815;0.10733126291998991;5.216285076565505;0.0;11.375139513897661;88.62486048610234;AGRICULTURE;31133.165950128394;1.5677370118769283
110040A0170;0.0;1.26;0.0;98.74;0.0;0.0;0.0;0.47;0.0;0.0;0.0;99.53;0.0;0.0;0.0;0.0;0.0;100.0;0.18;0.97;0.01;98.85;0.0;0.0;0.0;0.0;0.0;98.0;0.0;2.0;0.08049844718999243;0.5681989088338695;0.00447213595499958;53.968093536829706;0.0;10.924252605761714;89.07574739423829;BOIS;8385.09280004786;1.5094881024021967
110040A0171;0.0;6.44;0.0;93.56;0.0;0.0;0.0;1.47;0.0;0.0;0.0;98.53;0.0;0.0;0.0;0.0;0.0;100.0;1.02;0.88;0.9;97.2;0.0;0.0;0.0;0.0;0.0;98.99;0.0;1.01;0.4561578674099571;2.6905426961860317;0.40249223594996214;52.9370409071002;0.0;11.297246741329229;88.70275325867077;BOIS;10309.180250010182;1.239847044053808
110040A0172;0.0;2.57;0.0;97.43;0.0;0.0;0.0;1.2;0.0;0.0;0.0;98.8;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.05;0.0;99.94;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;1.1323559511037153;0.0;54.30199149202541;0.0;11.086869488625826;88.91313051137418;BOIS;4526.932800253953;1.5029910547807448
110040A0173;0.0;2.45;0.0;97.55;0.0;0.0;0.0;0.17;0.0;0.0;0.0;99.83;0.0;0.0;0.0;0.0;0.0;100.0;0.01;0.31;3.81;95.86;0.0;0.0;0.0;0.0;0.0;99.85;0.0;0.15;0.00447213595499958;1.0500619029371556;1.7038837988548399;53.56043101021499;0.0;11.263769769592397;88.7362302304076;BOIS;56805.6541498226;1.1262153044795968
110040A0174;0.0;16.76;0.0;83.24;0.0;0.0;0.0;1.19;0.0;0.0;0.0;98.81;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.27;0.0;99.73;0.0;0.0;0.0;0.0;0.0;99.99;0.0;0.01;0.0;7.348348794116949;0.0;52.10493805773115;0.0;11.89065737036962;88.10934262963038;BOIS;5063.020399878455;1.4626583926962364
110040A0175;7.55;72.03;0.0;20.42;0.0;0.0;0.0;77.54;0.0;0.0;0.0;22.46;0.0;0.0;0.0;0.0;0.0;100.0;0.0;70.03;13.94;16.02;0.0;0.0;0.0;0.0;0.0;26.8;0.0;73.2;3.3764626460246823;40.187502410575355;6.234157521269413;12.165497112736496;0.0;12.39272393812119;87.6072760618788;AGRICULTURE;9062.537700066974;1.197416751031165
110040A0176;0.0;0.0;0.0;100.0;0.0;0.0;0.0;1.83;0.0;0.0;0.0;98.17;0.0;0.0;0.0;0.0;0.0;100.0;0.0;1.7;0.0;98.3;0.0;0.0;0.0;0.0;0.0;97.58;0.0;2.42;0.0;0.9678222977385881;0.0;54.02719574436563;0.0;10.999003608420843;89.00099639157915;BOIS;2987.0312499461247;1.3064755561754797
110040A0177;1.24;27.7;0.0;71.06;0.0;0.0;0.0;6.82;0.0;0.0;0.0;93.18;0.0;0.0;0.0;0.0;0.0;100.0;2.51;0.0;3.14;94.35;0.0;0.0;0.0;0.0;0.0;86.67;0.0;13.33;1.1208478933378963;11.99454375956001;1.404250689869868;46.78212724962386;0.0;12.260353918478327;87.73964608152167;BOIS;1710.7935001036494;1.2874304502904659
110040A0178;97.13;0.82;0.0;2.04;0.0;0.0;0.0;98.21;0.0;0.0;0.0;1.79;0.0;0.0;0.0;0.0;0.0;100.0;0.3;86.38;5.74;7.57;0.0;0.0;0.0;0.0;0.0;1.47;0.0;98.53;43.404509903925884;50.57669245808785;2.567006038169759;3.125464765438894;0.0;19.934734633124478;80.06526536687552;ARTIFICIALISE;12688.667350011487;1.4629331173245035
